gametype,gamecode,gamename,gameplat,lang,status,maintain,nameset,language
slot,96,Football Baby,web,pt-br,TRUE,FALSE,풋볼 베이비,ko
,,,,zh-cn,,,ฟุตบอล ทารก,th
,,,,en,,,Trẻ nhỏ chơi bóng,vn
,,,,ko,,,Sepak bola bayi,id
,,,,th,,,Bebê de Futebol,pt-br
,,,,vn,,,足球宝贝,zh-cn
,,,,id,,,Football Baby,en
slot,98,All Star Team,web,ko,TRUE,FALSE,Piala Dunia All-Star,id
,,,,th,,,Equipe All Star,pt-br
,,,,vn,,,世界杯全明星,zh-cn
,,,,id,,,All Star Team,en
,,,,pt-br,,,모든 스타 팀,ko
,,,,zh-cn,,,ฟุตบอลโลกทีมสตาร์,th
,,,,en,,,Đội bóng toàn ngôi sao,vn
slot,105,JumpingMobile,"web,mobile",pt-br,TRUE,FALSE,Jumping Mobile,en
,,,,es,,,점핑 모바일,ko
,,,,id,,,Pulo Mobile,pt-br
,,,,vn,,,Salto Móvil,es
,,,,en,,,Lompat Tinggi Bergerak,id
,,,,ko,,,กระโดดสูง M,th
,,,,th,,,Jumping Mobile,vn
,,,,ja,,,ジャンピング モバイル,ja
,,,,zh-cn,,,单手跳高高,zh-cn
slot,104,ChickyParmParm,web,en,TRUE,FALSE,ChickyParmParm,en
,,,,zh-cn,,,海滨消消乐,zh-cn
slot,122,Zuma Wild,web,zh-cn,TRUE,FALSE,印加祖玛,zh-cn
,,,,en,,,Zuma Wild,en
,,,,ko,,,캔디 주마,ko
,,,,es,,,Comodín Zuma,es
,,,,pt-br,,,Zuma Louco,pt-br
slot,131,Fa Cai Shen M,web,en,TRUE,FALSE,直式发财神,zh-cn
,,,,ko,,,Fa Cai Shen M,en
,,,,th,,,재물신 M,ko
,,,,pt-br,,,ฟาชัยเซ็น M,th
,,,,zh-cn,,,Fa Cai Shen M,pt-br
slot,113,Flying Cai Shen,web,th,TRUE,FALSE,플라잉 재물신,ko
,,,,pt-br,,,เทพแห่งโชคลาภลอยฟ้า,th
,,,,zh-cn,,,Cai Shen Voador,pt-br
,,,,en,,,飞天财神,zh-cn
,,,,ko,,,Flying Cai Shen,en
slot,146,Sky Lanterns,web,en,TRUE,FALSE,Sky Lanterns,en
,,,,ko,,,스카이 랜턴,ko
,,,,zh-cn,,,九连宝灯,zh-cn
slot,147,Flower Fortunes,web,en,TRUE,FALSE,花开富贵,zh-cn
,,,,th,,,Flower Fortunes,en
,,,,zh-cn,,,ดอกไม้นำโชค,th
slot,148,Fortune Totem,web,zh-cn,TRUE,FALSE,有如神柱,zh-cn
,,,,en,,,Fortune Totem,en
,,,,es,,,Tótem de la fortuna,es
,,,,th,,,โทเทมนำโชค,th
slot,157,5 Boxing,web,zh-cn,TRUE,FALSE,五形拳,zh-cn
,,,,en,,,5 Boxing,en
,,,,th,,,5 กล่อง,th
slot,150,Shou-Xin,web,zh-cn,TRUE,FALSE,Shou-Xin,ko
,,,,en,,,寿星大发,zh-cn
